PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
3,489.8395,1,1,5,357.2498,2.750244,0.5731822,23.85992,Arrow
3,510.9938,2,1,3,359.7486,0.2514038,0.5822234,21.15427,Arrow
3,535.8386,3,3,4,3.957179,3.957179,0.5463591,24.84479,Arrow
3,550.6883,4,5,0,3.071165,3.071165,0.7756156,14.84973,Arrow
3,570.0769,5,1,8,357.0214,2.978638,0.6988254,19.38861,Arrow
3,600.7691,6,2,3,356.8962,3.103821,0.6134023,30.6922,Arrow
3,616.2436,7,0,8,349.0449,10.95511,0.7609659,15.47449,Arrow
3,629.216,8,3,5,358.7161,1.283936,0.5925764,12.97241,Arrow
3,652.0079,9,4,9,359.4648,0.5352173,0.6199719,22.79187,Arrow
3,98.8932,11,0,7,354.7131,5.286865,0.5707369,12.10162,Radar
3,111.9605,12,4,3,345.9163,14.08368,0.9173309,13.06726,Radar
3,135.2409,13,1,8,1.165404,1.165404,0.5787443,23.28046,Radar
3,149.2551,14,1,7,358.0674,1.932617,1.096029,14.01421,Radar
3,160.8938,15,3,5,0.7613835,0.7613835,1.847946,11.63869,Radar
3,175.6531,16,2,6,357.4586,2.541382,0.7116764,14.75925,Radar
3,202.4206,17,5,1,359.8294,0.1705627,1.192802,26.76755,Radar
3,213.9492,18,2,5,357.4699,2.530121,1.131934,11.52864,Radar
3,237.9337,19,4,1,359.6983,0.3016968,1.596153,23.98447,Radar
3,394.1099,21,2,7,339.774,20.22595,2.401846,21.41275,Lights
3,405.5811,22,0,3,356.4599,3.54007,0.7175725,11.47113,Lights
3,421.8586,23,2,2,22.38826,22.38826,2.302185,16.27756,Lights
3,433.9417,24,1,9,337.9492,22.05078,1.130028,12.08313,Lights
3,443.5388,25,4,4,7.59184,7.59184,1.113674,9.597076,Lights
3,456.0919,26,4,0,18.11683,18.11683,0.9943742,12.5531,Lights
3,480.3671,27,2,4,340.451,19.54895,3.0221,24.27518,Lights
3,493.0188,28,0,0,344.9186,15.08139,3.091897,12.65173,Lights
3,517.0049,29,4,9,343.1323,16.86768,1.080939,23.98611,Lights
3,637.8068,31,0,2,356.0106,3.98938,0.7228649,16.65485,Arrow & Radar
3,647.6678,32,4,7,0.1878618,0.1878618,0.8035634,9.861023,Arrow & Radar
3,659.0269,33,5,0,357.7226,2.277405,0.9668943,11.35913,Arrow & Radar
3,689.1313,34,3,4,358.9706,1.029388,0.9272655,30.10443,Arrow & Radar
3,704.1058,35,0,1,346.3517,13.64828,0.7829806,14.97449,Arrow & Radar
3,723.9083,36,3,3,357.4259,2.574066,0.8095855,19.80243,Arrow & Radar
3,737.689,37,0,9,355.9747,4.025269,0.7654755,13.78076,Arrow & Radar
3,745.8115,38,5,4,347.3272,12.67282,1.008875,8.122498,Arrow & Radar
3,758.4638,39,3,6,357.3216,2.678406,1.841999,12.65228,Arrow & Radar
3,910.4176,41,5,5,355.9578,4.042175,1.207552,28.82123,Arrow & Lights
3,928.2509,42,5,9,353.2915,6.708527,0.8885059,17.83325,Arrow & Lights
3,935.9173,43,2,1,3.747819,3.747819,1.349692,7.666443,Arrow & Lights
3,954.7786,44,2,8,351.0685,8.931549,1.535529,18.86127,Arrow & Lights
3,966.4729,45,1,2,359.9043,0.09567261,0.9301749,11.69434,Arrow & Lights
3,987.8603,46,5,2,355.1697,4.830292,2.528782,21.38739,Arrow & Lights
3,1004.401,47,2,0,1.316828,1.316828,2.786291,16.54102,Arrow & Lights
3,1014.916,48,4,6,0.7270685,0.7270685,2.40058,10.51422,Arrow & Lights
3,1027.446,49,3,9,0.6240227,0.6240227,0.8747676,12.53052,Arrow & Lights
3,1136.875,51,3,1,354.39,5.610016,0.9413324,7.180542,Lights & Radar
3,1157.362,52,5,6,345.0403,14.95966,1.41635,20.48645,Lights & Radar
3,1173.473,53,0,8,354.039,5.960968,0.875158,16.11145,Lights & Radar
3,1182.846,54,0,5,341.6451,18.35486,1.493119,9.372559,Lights & Radar
3,1194.151,55,0,4,350.1081,9.891937,2.757764,11.30566,Lights & Radar
3,1212.499,56,3,0,339.3737,20.62625,1.056933,18.34741,Lights & Radar
3,1229.401,57,2,3,347.8892,12.11081,0.7077994,16.90222,Lights & Radar
3,1247.18,58,3,2,348.7251,11.27487,2.248389,17.77856,Lights & Radar
3,1262.485,59,4,5,349.5797,10.42026,2.368128,15.30518,Lights & Radar
4,555.591,1,3,6,52.89832,52.89832,0.8317147,24.73651,Radar
4,578.7433,2,3,1,355.3571,4.642883,0.6653038,23.15234,Radar
4,614.0911,3,5,7,14.75586,14.75586,0.7111942,35.34778,Radar
4,647.895,4,2,9,352.7383,7.261658,0.7070462,33.80389,Radar
4,684.0639,5,4,1,346.9701,13.02991,0.6939998,36.16888,Radar
4,721.3687,6,3,2,343.9053,16.09473,0.6962132,37.30475,Radar
4,750.687,7,0,6,359.6705,0.3294983,0.9871287,29.3183,Radar
4,778.9798,8,3,3,4.518058,4.518058,0.9216157,28.29285,Radar
4,816.0637,9,1,7,354.2049,5.795074,0.7207575,37.08386,Radar
4,953.6183,11,2,4,359.3468,0.6532288,3.773222,15.14825,Lights
4,963.9674,12,3,9,333.8256,26.17444,2.278371,10.34906,Lights
4,982.4949,13,3,8,6.444538,6.444538,2.59257,18.52747,Lights
4,997.6314,14,3,0,3.777928,3.777928,3.879366,15.13654,Lights
4,1010.907,15,2,7,14.88684,14.88684,3.78884,13.27533,Lights
4,1015.86,16,4,3,359.5561,0.4438782,1.148442,4.952881,Lights
4,1029.698,17,0,1,15.80119,15.80119,4.197401,13.83887,Lights
4,1043.517,18,1,8,341.167,18.83304,5.825626,13.81824,Lights
4,1054.796,19,1,5,22.22023,22.22023,3.313246,11.27966,Lights
4,1172.828,21,0,9,0.1108339,0.1108339,2.993703,12.79321,Arrow
4,1184.411,22,5,8,7.67406,7.67406,3.132905,11.58252,Arrow
4,1204.357,23,4,2,5.727987,5.727987,1.624115,19.94556,Arrow
4,1215.256,24,4,6,349.5571,10.44287,0.8796934,10.89966,Arrow
4,1226.366,25,0,4,8.450162,8.450162,1.271219,11.10999,Arrow
4,1242.13,26,0,2,7.067547,7.067547,1.932144,15.76343,Arrow
4,1256.016,27,1,4,358.8226,1.177429,1.861647,13.88611,Arrow
4,1268.851,28,4,8,359.121,0.8790283,0.837992,12.83496,Arrow
4,1298.11,29,5,2,7.292233,7.292233,2.023379,29.25952,Arrow
4,1439.962,31,4,4,343.2259,16.77408,1.406056,5.40271,Arrow & Lights
4,1446.378,32,1,9,358.9799,1.020142,5.004024,6.41626,Arrow & Lights
4,1459.849,33,1,0,346.6575,13.34247,2.25117,13.47119,Arrow & Lights
4,1470.698,34,5,0,3.883401,3.883401,1.722884,10.84851,Arrow & Lights
4,1489.804,35,3,7,7.87618,7.87618,2.691002,19.10583,Arrow & Lights
4,1514.151,36,5,1,3.749583,3.749583,3.921289,24.34692,Arrow & Lights
4,1522.292,37,1,6,355.4039,4.59613,3.920171,8.140869,Arrow & Lights
4,1526.416,38,4,0,351.4352,8.56485,1.306781,4.124146,Arrow & Lights
4,1537.887,39,2,6,346.96,13.03998,0.9400036,11.47168,Arrow & Lights
4,1629.501,41,4,7,3.152245,3.152245,1.528278,6.514282,Lights & Radar
4,1644.539,42,3,4,358.6388,1.361237,3.396063,15.03748,Lights & Radar
4,1663.372,43,5,5,356.4354,3.564575,2.234536,18.83325,Lights & Radar
4,1676.342,44,2,2,0.8605452,0.8605452,2.427136,12.97034,Lights & Radar
4,1690.134,45,4,5,357.5738,2.426208,1.231578,13.79175,Lights & Radar
4,1701.186,46,5,3,339.889,20.11102,1.77146,11.05188,Lights & Radar
4,1721.492,47,2,8,351.9172,8.082825,5.584085,20.30627,Lights & Radar
4,1733.339,48,1,1,347.711,12.28903,4.141695,11.84692,Lights & Radar
4,1745.414,49,2,3,358.3103,1.689667,0.9884527,12.07458,Lights & Radar
4,1819.764,51,3,5,353.9621,6.037933,1.517349,12.23669,Arrow & Radar
4,1829.514,52,0,0,4.445412,4.445412,2.049087,9.749756,Arrow & Radar
4,1838.138,53,0,5,2.387204,2.387204,1.721104,8.624023,Arrow & Radar
4,1847.863,54,1,2,6.852173,6.852173,1.745136,9.724976,Arrow & Radar
4,1857.72,55,1,3,7.705775,7.705775,1.298862,9.856689,Arrow & Radar
4,1879.334,56,5,9,12.09649,12.09649,4.717944,21.61401,Arrow & Radar
4,1895.069,57,2,0,5.167847,5.167847,5.123511,15.73584,Arrow & Radar
4,1904.78,58,2,5,7.933109,7.933109,1.238859,9.710938,Arrow & Radar
4,1915.334,59,0,7,4.177835,4.177835,1.591069,10.55396,Arrow & Radar
6,380.0944,1,4,3,3.955439,3.955439,1.46664,18.47302,Arrow
6,402.1783,2,4,7,1.449516,1.449516,2.452498,22.08395,Arrow
6,442.7624,3,2,3,16.2915,16.2915,0.6599862,40.58408,Arrow
6,491.998,4,1,0,3.351657,3.351657,0.8905095,49.23557,Arrow
6,516.7629,5,1,1,345.5455,14.45447,1.444362,24.76492,Arrow
6,548.6382,6,3,4,351.5453,8.454651,0.8499866,31.87537,Arrow
6,584.5258,7,4,2,345.1856,14.81442,1.287337,35.88757,Arrow
6,595.1517,8,2,9,356.2682,3.73175,1.229774,10.62585,Arrow
6,628.7634,9,2,4,359.2706,0.7293701,1.631083,33.61169,Arrow
6,942.2075,11,4,8,3.407314,3.407314,1.84927,22.68518,Lights
6,962.8732,12,2,6,345.8377,14.16226,1.678036,20.66565,Lights
6,999.6661,13,2,1,29.60232,29.60232,1.237384,36.79297,Lights
6,1043.069,14,1,2,338.6009,21.39908,1.968066,43.40283,Lights
6,1057.763,15,3,2,7.801978,7.801978,1.246445,14.69373,Lights
6,1084.138,16,5,4,352.525,7.475037,3.439733,26.37488,Lights
6,1103.86,17,1,6,345.6535,14.34647,1.704055,19.72278,Lights
6,1123.373,18,0,8,356.9466,3.053436,1.914906,19.51294,Lights
6,1141.512,19,3,9,358.0952,1.904785,1.407239,18.13916,Lights
6,1345.098,21,4,0,351.226,8.773987,0.695969,11.20605,Radar
6,1381.861,22,2,8,357.5084,2.491608,1.364764,36.7627,Radar
6,1395.888,23,0,3,352.0769,7.923065,0.792739,14.02698,Radar
6,1425.496,24,4,1,358.5757,1.424316,1.101619,29.60828,Radar
6,1457.16,25,0,2,355.9957,4.004303,0.743045,31.66406,Radar
6,1489.603,26,3,7,344.5717,15.42825,1.058025,32.44275,Radar
6,1502.99,27,1,9,341.5902,18.40976,0.6839195,13.38745,Radar
6,1523.639,28,2,5,352.95,7.049957,1.023198,20.64893,Radar
6,1543.888,29,4,5,347.7846,12.21539,1.065163,20.24902,Radar
6,1662.435,31,3,8,2.004907,2.004907,1.638968,29.97766,Arrow & Radar
6,1677.921,32,1,5,356.9694,3.03064,0.9618489,15.48535,Arrow & Radar
6,1693.699,33,0,7,355.742,4.257965,0.7882724,15.77808,Arrow & Radar
6,1706.018,34,0,9,358.4651,1.534882,0.9686548,12.31946,Arrow & Radar
6,1713.13,35,3,1,4.630914,4.630914,0.7181131,7.111572,Arrow & Radar
6,1743.795,36,5,5,2.455227,2.455227,0.9490734,30.66553,Arrow & Radar
6,1771.851,37,2,7,6.317597,6.317597,1.014178,28.05627,Arrow & Radar
6,1789.255,38,1,8,0.3185521,0.3185521,1.093503,17.40332,Arrow & Radar
6,1807.365,39,1,3,10.7657,10.7657,0.6850865,18.1106,Arrow & Radar
6,1926.326,41,2,2,341.4044,18.59558,0.8682967,17.97217,Lights & Radar
6,1949.796,42,5,6,352.1588,7.841248,0.8447016,23.47058,Lights & Radar
6,1975.562,43,4,6,355.6967,4.303253,1.068399,25.76563,Lights & Radar
6,1987.548,44,5,0,352.9132,7.086761,1.043513,11.98621,Lights & Radar
6,2003.326,45,5,8,356.9147,3.085327,1.125586,15.77783,Lights & Radar
6,2021.339,46,5,7,357.8612,2.138763,0.7710792,18.01343,Lights & Radar
6,2043.742,47,4,9,352.4869,7.513092,1.19379,22.40259,Lights & Radar
6,2058.172,48,5,3,344.9369,15.06308,1.269868,14.43005,Lights & Radar
6,2071.934,49,3,6,348.1762,11.82379,1.312384,13.76245,Lights & Radar
6,2238.607,51,5,1,1.05209,1.05209,1.07207,35.93042,Arrow & Lights
6,2248.619,52,4,4,2.981703,2.981703,0.7253203,10.01196,Arrow & Lights
6,2264.299,53,0,5,359.9319,0.06814575,0.895801,15.67993,Arrow & Lights
6,2300.446,54,0,0,9.503971,9.503971,0.9185267,36.14697,Arrow & Lights
6,2324.696,55,2,0,4.907311,4.907311,0.7032232,24.25,Arrow & Lights
6,2340.138,56,3,5,5.592365,5.592365,0.696168,15.44189,Arrow & Lights
6,2356.986,57,0,1,354.4225,5.577454,1.432276,16.84814,Arrow & Lights
6,2380.845,58,5,9,2.091607,2.091607,0.7403305,23.85938,Arrow & Lights
6,2402.455,59,1,4,359.8427,0.1573181,0.7558858,21.60938,Arrow & Lights
7,341.3243,1,3,6,335.9616,24.03842,0.5856511,16.15045,Lights
7,359.5504,2,2,2,344.2587,15.74127,3.075924,18.22607,Lights
7,374.2963,3,1,3,19.47644,19.47644,0.7092031,14.74594,Lights
7,390.5092,4,1,9,7.109598,7.109598,0.6209685,16.21292,Lights
7,407.5227,5,4,7,24.70392,24.70392,1.114222,17.01349,Lights
7,449.6324,6,5,2,9.563854,9.563854,0.6029959,42.10965,Lights
7,465.2454,7,2,6,11.61636,11.61636,0.7457951,15.61304,Lights
7,483.3291,8,4,0,13.74844,13.74844,0.6522535,18.08371,Lights
7,494.7721,9,0,6,348.7846,11.21542,0.710682,11.44293,Lights
7,704.8237,11,2,8,13.80425,13.80425,0.6297136,24.16467,Arrow
7,718.7666,12,5,3,17.82718,17.82718,0.5721109,13.94287,Arrow
7,743.1129,13,3,8,6.089132,6.089132,0.5817884,24.34631,Arrow
7,756.483,14,3,5,4.49658,4.49658,0.573465,13.37006,Arrow
7,768.8326,15,2,9,6.168808,6.168808,0.5570124,12.34961,Arrow
7,793.691,16,5,9,2.27466,2.27466,0.5720232,24.8584,Arrow
7,806.9951,17,4,4,2.968012,2.968012,0.5568107,13.30414,Arrow
7,825.0921,18,3,7,1.456449,1.456449,0.5727137,18.09698,Arrow
7,837.5761,19,5,4,2.790334,2.790334,0.8803764,12.48401,Arrow
7,964.7611,21,1,4,353.5877,6.412323,6.285025,19.73322,Radar
7,982.7766,22,5,0,2.043869,2.043869,0.181451,18.0155,Radar
7,1001.431,23,5,7,4.724618,4.724618,0.413976,18.6546,Radar
7,1015.335,24,5,8,349.7898,10.21021,0.204461,13.90375,Radar
7,1032.082,25,4,3,347.308,12.69202,0.2460387,16.74695,Radar
7,1046.151,26,0,5,357.7535,2.246521,0.3562622,14.06921,Radar
7,1063.237,27,1,6,358.8143,1.185699,0.1916616,17.08618,Radar
7,1077.733,28,3,2,345.8981,14.10193,0.1788745,14.49524,Radar
7,1096.001,29,3,9,354.9219,5.078125,0.3271521,18.26868,Radar
7,1326.881,31,1,1,2.487651,2.487651,0.7806245,20.72363,Lights & Radar
7,1347.452,32,0,8,353.3101,6.689911,0.7051691,20.57031,Lights & Radar
7,1366.993,33,0,1,2.20681,2.20681,0.6912614,19.54126,Lights & Radar
7,1375.92,34,0,3,0.6951628,0.6951628,0.6098191,8.927002,Lights & Radar
7,1389.549,35,3,1,355.5244,4.475616,0.6130487,13.62952,Lights & Radar
7,1403.022,36,0,7,355.6053,4.394684,0.6975663,13.47217,Lights & Radar
7,1419.517,37,2,5,357.4893,2.510681,0.6235598,16.49585,Lights & Radar
7,1439.268,38,2,4,3.419464,3.419464,0.7332288,19.75098,Lights & Radar
7,1457.311,39,2,7,2.159171,2.159171,0.6641915,18.04211,Lights & Radar
7,1583.389,41,5,6,4.020796,4.020796,0.5768453,18.70813,Arrow & Radar
7,1599.033,42,1,7,2.235442,2.235442,0.6374002,15.64417,Arrow & Radar
7,1619.515,43,3,3,4.865516,4.865516,0.6452403,20.48193,Arrow & Radar
7,1631.158,44,2,1,5.737282,5.737282,0.6232273,11.64343,Arrow & Radar
7,1646.322,45,0,4,355.9957,4.004303,0.5919946,15.16406,Arrow & Radar
7,1666.157,46,4,9,358.7215,1.278534,0.5794322,19.83496,Arrow & Radar
7,1685.364,47,4,5,3.310427,3.310427,0.5752727,19.20654,Arrow & Radar
7,1714.487,48,3,0,2.986279,2.986279,0.5704225,29.12292,Arrow & Radar
7,1753.18,49,2,0,1.291962,1.291962,0.7153128,38.69348,Arrow & Radar
7,1915.666,51,4,6,5.489803,5.489803,1.71993,16.1228,Arrow & Lights
7,1928.128,52,4,8,0.7233552,0.7233552,0.8205838,12.46216,Arrow & Lights
7,1949.334,53,5,5,358.3585,1.641479,0.6374941,21.20642,Arrow & Lights
7,1969.737,54,0,2,3.45901,3.45901,0.6547631,20.40308,Arrow & Lights
7,1998.086,55,4,1,7.779439,7.779439,0.5790417,28.34924,Arrow & Lights
7,2016.642,56,1,5,0.3335477,0.3335477,0.6484423,18.55591,Arrow & Lights
7,2035.725,57,1,8,0.5754273,0.5754273,0.6358582,19.08301,Arrow & Lights
7,2054.723,58,2,3,0.3763843,0.3763843,0.6463253,18.99805,Arrow & Lights
7,2075.708,59,3,4,7.59612,7.59612,0.5506324,20.98486,Arrow & Lights
8,440.3873,1,3,1,356.0535,3.946533,0.8426265,6.749481,Lights
8,468.1904,2,5,1,359.1747,0.8252869,1.628841,27.80304,Lights
8,474.23,3,0,3,353.4006,6.599426,1.053385,6.039673,Lights
8,489.964,4,2,4,346.636,13.36404,1.857204,15.73392,Lights
8,503.6325,5,5,7,12.7061,12.7061,1.560559,13.66852,Lights
8,530.3248,6,5,6,330.1315,29.8685,2.087088,26.69229,Lights
8,542.1839,7,1,1,20.99301,20.99301,1.237308,11.85913,Lights
8,566.2905,8,3,4,334.6898,25.31024,0.7807614,24.10657,Lights
8,581.7924,9,1,7,348.5734,11.42657,1.748372,15.50195,Lights
8,692.7431,11,4,4,358.2136,1.786438,1.173441,8.266357,Radar
8,700.4487,12,4,0,1.429016,1.429016,0.9829278,7.705566,Radar
8,715.2269,13,5,8,3.553054,3.553054,0.9391221,14.77826,Radar
8,724.2523,14,1,4,357.8782,2.121765,0.7897378,9.02533,Radar
8,739.7787,15,3,3,347.2166,12.78336,0.7177241,15.52649,Radar
8,749.2222,16,2,5,6.216186,6.216186,0.9538965,9.44342,Radar
8,771.0836,17,5,2,346.0639,13.93607,0.7293907,21.86145,Radar
8,783.7887,18,1,0,8.961513,8.961513,0.817324,12.70508,Radar
8,799.4014,19,1,8,332.3922,27.60782,0.7573381,15.61273,Radar
8,878.0372,21,2,9,356.1013,3.898682,0.7012684,9.888367,Arrow
8,896.5762,22,5,5,2.729463,2.729463,1.007936,18.53894,Arrow
8,907.2133,23,3,5,18.98504,18.98504,0.7145604,10.63708,Arrow
8,915.6022,24,0,6,354.123,5.877045,0.749005,8.388916,Arrow
8,927.9337,25,1,3,357.3434,2.656647,0.7282003,12.33154,Arrow
8,936.6025,26,1,9,0.2333496,0.2333496,0.7036442,8.668762,Arrow
8,949.2766,27,1,6,358.4723,1.527679,0.752615,12.67413,Arrow
8,964.8478,28,4,6,355.2089,4.791107,0.7069613,15.57117,Arrow
8,981.7078,29,4,2,352.6082,7.391815,0.904974,16.85999,Arrow
8,1119.173,31,4,1,354.7656,5.234436,0.4738156,21.93164,Lights & Radar
8,1127.239,32,0,5,341.3269,18.67313,0.1253463,8.065918,Lights & Radar
