StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Participant ID (PID)?,Please rank the visualizations from best to worst. - Arrow,Please rank the visualizations from best to worst. - Radar,Please rank the visualizations from best to worst. - Lights,Please rank the visualizations from best to worst. - Arrow and Radar,Please rank the visualizations from best to worst. - Radar and Lights,Please rank the visualizations from best to worst. - Lights and Arrow,Which visualizations would you prefer for different distances from the sound source? - Near,Which visualizations would you prefer for different distances from the sound source? - Medium,Which visualizations would you prefer for different distances from the sound source? - Far,"For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - The system would be useful in Scenario 1.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - I would choose to use the system in Scenario 1.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - The system would be useful in Scenario 2.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - I would choose to use the system in Scenario 2.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - The system would be useful in Scenario 3.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - I would choose to use the system in Scenario 3.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - The system would be useful in Scenario 4.","For the following questions please consider the system being used with modern smartglasses capable of full Augmented Reality.



You will be asked to answer questions based on the following scenarios:

Scenario 1: Working in a safety critical warehouse with hearing protection on.



Scenario 2: Walking along a busy road with headphones on.



Scenario 3: Responding to a fire alarm in a large building.
Scenario 4: Sitting in a cafe with headphones on. - I would choose to use the system in Scenario 4."
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}"
2026-02-21 21:54:53,2026-02-21 21:58:11,IP Address,92.40.192.157,100,197,True,2026-02-21 21:58:12,R_8MahJHtMoufppQO,,,,,55.8557,-4.2104,anonymous,EN-GB,2,6,3,5,4,1,2,Lights,"Radar,Lights","Arrow,Radar",6,5,6,6,5,5,5,6
2026-02-22 14:18:02,2026-02-22 14:20:46,IP Address,82.4.26.160,100,163,True,2026-02-22 14:20:46,R_2VpZATnZchqZsYI,,,,,55.9335,-3.254,anonymous,EN-GB,4,6,4,1,5,2,3,Radar,Lights,Lights,5,3,5,5,5,5,5,7
2026-02-25 11:32:31,2026-02-25 12:14:50,IP Address,130.209.157.48,100,2539,True,2026-02-25 12:14:51,R_2r2n3KswWfa0DHU,,,,,55.8557,-4.2104,anonymous,EN-GB,6,5,4,6,3,1,2,"Arrow,Radar","Arrow,Radar,Lights",Lights,5,6,2,2,5,6,1,2
2026-02-25 13:09:15,2026-02-25 13:19:31,IP Address,130.209.157.48,100,616,True,2026-02-25 13:19:32,R_8llB39vw4rByaai,,,,,55.867,-4.2621,anonymous,EN-GB,7,5,3,1,6,2,4,"Arrow,Lights","Radar,Lights",Radar,5,7,6,7,5,5,3,3
2026-02-25 15:13:40,2026-02-25 15:19:01,IP Address,130.209.157.48,100,321,True,2026-02-25 15:19:02,R_2gAfoH6U8HwCPMu,,,,,55.867,-4.2621,anonymous,EN-GB,8,2,3,6,4,5,1,Radar,"Arrow,Lights","Arrow,Lights",6,5,3,3,1,1,6,5
2026-02-27 10:08:22,2026-02-27 11:09:09,IP Address,130.209.157.53,100,3647,True,2026-02-27 11:09:09,R_86rj80FPK4CzJNT,,,,,55.867,-4.2621,anonymous,EN-GB,9,5,3,6,2,1,4,"Radar,Lights",Arrow,Radar,6,2,2,2,1,1,6,6
2026-02-27 14:36:50,2026-02-27 15:19:23,IP Address,130.209.157.48,100,2552,True,2026-02-27 15:19:24,R_2N8u3wmkvOaUOje,,,,,55.867,-4.2621,anonymous,EN-GB,10,1,5,6,2,4,3,Radar,Arrow,Arrow,1,1,1,1,1,1,1,1
2026-02-28 15:04:51,2026-02-28 16:05:16,IP Address,82.3.8.157,100,3624,True,2026-02-28 16:05:16,R_2DRrw6AopQskm5z,,,,,55.9139,-4.3311,anonymous,EN-GB,12,4,2,6,1,3,5,"Arrow,Radar","Arrow,Radar","Arrow,Radar",5,5,5,5,5,5,3,3
2026-02-28 17:16:15,2026-02-28 17:20:18,IP Address,82.3.8.157,100,242,True,2026-02-28 17:20:18,R_2fiKXzYaMsqlvl8,,,,,55.9139,-4.3311,anonymous,EN-GB,13,6,1,3,4,2,5,Radar,Radar,Radar,7,6,4,4,1,1,1,1
